"","country","control_condition","intervention_condition","contrast","pa_effect_size","na_effect_size","optimism_effect_size","ls_effect_size","ladder_effect_size","envy_effect_size","indebted_effect_size","pa_var","na_var","optimism_var","ls_var","ladder_var","envy_var","indebted_var"
"27","United States","measure","list","measure vs list",0.29270703205868,-0.031664466472307,0.426789463276306,0.199579726650185,0.190993390125072,-0.02066321052753,0.164515134419878,0.0112621672709114,0.0111442358389064,0.0113965291641525,0.011198315823381,0.0111936450821299,0.0111434340698706,0.011180534712188
"28","United States","measure","god.letter","measure vs god.letter",0.348692554302616,-0.189215295093375,0.361489832595939,0.179301614543622,0.147628167578931,-0.102608899250842,0.0726882748285037,0.0116157166380896,0.0114931679673342,0.0116287000690099,0.0114879488831637,0.0114731560358562,0.011457062479203,0.0114495696207631
"29","United States","measure","text","measure vs text",0.602290661848512,-0.289262077004574,0.447606104833347,0.141974887335,0.105650789461494,-0.329818684226299,0.273958886886342,0.0125162873432115,0.0121009875036922,0.012274616485673,0.0120064701219077,0.011993085033634,0.0121383503240371,0.0120881614955241
"30","United States","measure","letter","measure vs letter",0.430073760661741,-0.2126166488603,0.326254818488745,0.084976566585281,0.0687063543137897,-0.237341439219117,0.425782429430319,0.0116706955028343,0.0114716106022115,0.0115588418945399,0.0114175011684452,0.0114139392685228,0.0114874583506418,0.0116654636475662
"31","United States","int.events","sub","int.events vs sub",0.10207122370685,-0.0616725534859035,-0.0624040881751472,0.0239145346007514,0.0513364600472143,-0.0484426263949913,0.167009029512562,0.0113799030198559,0.0113705066692088,0.0113706355987081,0.0113659163298788,0.01136884747642,0.0113684373285818,0.0114047233056936
"32","United States","int.events","hk.list","int.events vs hk.list",0.258977871787833,-0.0595267747562129,0.158091413087865,0.131178259089683,0.0518456338280788,-0.0342146970178346,0.19097987236481,0.0115620189078965,0.0114710073016459,0.0115017371841377,0.0114905836608793,0.0114697817039871,0.0114676078870029,0.0115181847726138
"33","United States","int.events","list","int.events vs list",0.176410449663982,-0.0666511627896705,0.247647501049119,0.171499063326289,0.13637561200575,0.00650941652538601,0.204915820954804,0.011279663829706,0.0112421943504231,0.0113220916921009,0.011277263944834,0.0112620762746488,0.0112360145681229,0.0112949304686483
"34","United States","int.events","god.letter","int.events vs god.letter",0.233636681998393,-0.227030458159759,0.182530103952833,0.152445298470561,0.0973158462508782,-0.077635642868737,0.110063352520053,0.0116137916129816,0.0116094064973577,0.0115831448401773,0.0115686237021035,0.0115487833633509,0.0115438221516969,0.0115525925386196
"35","United States","int.events","text","int.events vs text",0.489130682339131,-0.328370566241324,0.274711468878646,0.117063460301699,0.0564959973246447,-0.308294510880777,0.313282255791429,0.0124288229003931,0.0122314931772221,0.0121829033309155,0.0120901667882794,0.0120743829203753,0.0122123014004436,0.0122169564550301
"36","United States","int.events","letter","int.events vs letter",0.317299762912341,-0.250683735397541,0.148889354043105,0.0632044219741594,0.0240114403928503,-0.213104970968986,0.468690216049257,0.0116449844053931,0.0115906211807504,0.0115321811010873,0.0115060701229403,0.0115011588446539,0.0115655800793981,0.0118159490305024
"37","Nigeria","int.events","hk.list","int.events vs hk.list",0.221008332720805,-0.460608671667146,-0.253774063045757,0.0972390644469678,0.0746729566892887,-0.113916543865296,0.183120774930543,0.0250277301942558,0.0255286984926697,0.0250754498014421,0.0249069042817481,0.0248950043271659,0.0249177065618453,0.0249807625104495
"38","Nigeria","int.events","text","int.events vs text",0.286873881948938,-0.296314633532422,-0.00182164660489918,-0.192179498435541,0.150290502639205,-0.0564193780768102,0.2141111000007,0.0262025546410844,0.0262203150859263,0.0259370923644776,0.0260562202393891,0.0260099437089524,0.0259473498735944,0.0260849641217265
"39","Nigeria","int.events","god.letter","int.events vs god.letter",0.337831841396381,-0.159338932694112,-0.122226397243042,0.219383134829149,0.207922531998365,0.054240794948311,0.0817760875864368,0.0263052440892031,0.0260189813227864,0.0259852729250797,0.0260923363691586,0.0260765390125946,0.0259465721884785,0.0259586536873956
"40","Nigeria","int.events","list","int.events vs list",0.0637497746080947,-0.214489278493188,-0.068309822526467,-0.051496503402018,0.0303754839997653,-0.191613411788058,0.0567350344441965,0.0247708444531173,0.0248987152361233,0.024772680422907,0.0247665391363492,0.0247612671246589,0.0248703922147468,0.024768267716443
"41","Nigeria","int.events","sub","int.events vs sub",0.374723557662528,-0.325653612406492,0.00522012315623716,0.120721889383419,0.122457830210941,-0.0381128172883433,0.0831788649928889,0.0256913307046104,0.0255839323627546,0.0252526104077933,0.0252980682980762,0.0252993875030877,0.0252570645864054,0.0252741462637175
"42","Nigeria","int.events","letter","int.events vs letter",0.172722953128165,-0.39603893055789,-0.216555706674934,0.0870912655961525,0.116947390265798,-0.207428771057354,0.185732403619398,0.0260333178488033,0.0264430391906746,0.0260883602860812,0.0259615490423705,0.0259812000215538,0.026075877450497,0.0260483607753095
"43","Nigeria","measure","hk.list","measure vs hk.list",0.115685463784867,-0.164217061861412,-0.152951605731867,0.14270231589012,-0.162934600502043,-0.0577057689150489,0.0771944668291574,0.0238491188584324,0.0238893085533297,0.0238787374003402,0.0238697721851463,0.0238880672534314,0.0238193757496601,0.0238271539447576
