"","outcome","contrast","estimate","SE","df","t.ratio","p.value"
"227","envy","events - list",0.16,0.05,34.76,2.88,"**"
"228","envy","events - measure",0.08,0.05,34.2,1.54," "
"229","envy","events - mental.sub",0.19,0.06,35.41,3.23,"**"
"230","envy","events - naikan",0.18,0.07,36.18,2.69,"*"
"231","envy","events - text",0.35,0.06,35.06,6.03,"***"
"232","envy","int.events - letter",0.27,0.05,34.69,5.13,"***"
"233","envy","int.events - list",0.09,0.05,33.78,1.75,"."
"234","envy","int.events - measure",0.01,0.05,33.97,0.19," "
"235","envy","int.events - mental.sub",0.12,0.05,34.3,2.29,"*"
"236","envy","int.events - naikan",0.11,0.05,34.94,1.92,"."
"237","envy","int.events - text",0.28,0.05,34.26,5.24,"***"
"238","envy","letter - list",-0.19,0.05,34.04,-3.63,"***"
"239","envy","letter - measure",-0.27,0.05,34.66,-4.99,"***"
"240","envy","letter - mental.sub",-0.16,0.05,34.5,-2.91,"**"
"241","envy","letter - naikan",-0.17,0.06,35.08,-3.04,"**"
"242","envy","letter - text",0.01,0.06,34.72,0.12," "
"243","envy","list - measure",-0.08,0.05,34.06,-1.55," "
"244","envy","list - mental.sub",0.03,0.05,33.79,0.61," "
"245","envy","list - naikan",0.02,0.05,34.69,0.32," "
"246","envy","list - text",0.19,0.05,33.52,3.76,"***"
"247","envy","measure - mental.sub",0.11,0.05,34.2,2.13,"*"
"248","envy","measure - naikan",0.1,0.06,35.61,1.66," "
"249","envy","measure - text",0.27,0.06,35.14,4.82,"***"
"250","envy","mental.sub - naikan",-0.01,0.05,34.36,-0.27," "
"251","envy","mental.sub - text",0.16,0.06,34.61,2.92,"**"
"252","envy","naikan - text",0.18,0.06,34.82,3.13,"**"
"253","ls","divine.grat - events",0.23,0.06,34.03,3.57,"**"
"254","ls","divine.grat - int.events",0.17,0.06,33.98,2.63,"*"
"255","ls","divine.grat - letter",0.07,0.07,34.84,1.04," "
"256","ls","divine.grat - list",0.06,0.06,32.8,0.92," "
"257","ls","divine.grat - measure",0.2,0.06,34.3,3.14,"**"
"258","ls","divine.grat - mental.sub",0.03,0.06,34.01,0.41," "
"259","ls","divine.grat - naikan",0.04,0.06,34.06,0.68," "
"260","ls","divine.grat - text",0.05,0.06,33.55,0.85," "
"261","ls","events - int.events",-0.06,0.06,34.56,-1.02," "
"262","ls","events - letter",-0.16,0.06,34.05,-2.61,"*"
"263","ls","events - list",-0.18,0.07,34.9,-2.67,"*"
"264","ls","events - measure",-0.03,0.06,34.06,-0.46," "
"265","ls","events - mental.sub",-0.2,0.06,33.69,-3.4,"**"
"266","ls","events - naikan",-0.19,0.06,34.02,-3.09,"**"
"267","ls","events - text",-0.18,0.06,34.33,-2.74,"**"
"268","ls","int.events - letter",-0.1,0.06,34.44,-1.53," "
"269","ls","int.events - list",-0.11,0.06,34.1,-1.82,"."
